time,PM,sdPM,PT,sdPT,S,sdS,X,sdX,V,Feed,D,Sin
0,0,0.1,0,0.1,5,0.25,1,0.1,1,0.41,0.41,20
1,0.11092733,0.1,0,0.1,7.892886507,0.25,1.142384655,0.1,1.41,0.41,0.291732104,20
2,0,0.1,0,0.1,8.800469646,0.25,0.774049106,0.1,1.81,0.41,0.226419518,20
3,0.007735909,0.1,0.143838029,0.1,8.876550903,0.25,1.182562825,0.1,2.22,0.41,0.18500161,20
4,0,0.1,0.032519054,0.1,8.146279762,0.25,1.276321526,0.1,2.62,0.41,0.156393286,20
5,0,0.1,0,0.1,6.569485413,0.25,1.31921277,0.1,3.03,0.41,0.135447867,20
6,0,0.1,0.137029854,0.1,5.346658056,0.25,1.68120508,0.1,3.43,0.41,0.119450161,20
7,0.153263054,0.1,0,0.1,3.227900683,0.25,2.112796226,0.1,3.84,0.41,0.106832238,20
8,0,0.1,0.018656145,0.1,0.544516357,0.25,2.791132216,0.1,4.24,0.41,0.096625375,20
9,0.380205445,0.1,0.582405918,0.1,0.411164226,0.25,2.76887426,0.1,4.65,0.41,0.088198772,20
10,0.894441391,0.1,1.281446474,0.1,0.31597655,0.25,2.377640887,0.1,5.05,0.41,0.081124026,20
11,1.621383142,0.1,1.907908302,0.1,0.044177319,0.25,2.833567435,0.1,5.46,0.41,0.075099983,20
12,1.981748339,0.1,2.398294757,0.1,0.182029843,0.25,2.617542824,0.1,5.86,0.41,0.069908754,20
13,2.658027348,0.1,3.069394094,0.1,0,0.25,2.551621374,0.1,6.27,0.41,0.065388802,20
14,3.255673779,0.1,3.622311365,0.1,0.313261522,0.25,2.640704502,0.1,6.68,0.41,0.061417832,20
15,3.837123426,0.1,4.246690603,0.1,0,0.25,2.558705299,0.1,7.08,0.41,0.057901552,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,0.41,0.41,20
1,0,0.1,0,0.1,7.593358199,0.25,0.967589267,0.1,1.41,0.41,0.291732104,20
2,0.096095387,0.1,0,0.1,8.497663787,0.25,0.850774762,0.1,1.81,0.41,0.226419518,20
3,0.01240498,0.1,0,0.1,8.919177572,0.25,1.022115309,0.1,2.22,0.41,0.18500161,20
4,0.143669662,0.1,0.084037553,0.1,7.777288989,0.25,1.138286829,0.1,2.62,0.41,0.156393286,20
5,0,0.1,0,0.1,7.045513247,0.25,1.685027322,0.1,3.03,0.41,0.135447867,20
6,0,0.1,0.010009283,0.1,5.376120435,0.25,1.663004094,0.1,3.43,0.41,0.119450161,20
7,0,0.1,0,0.1,2.759413075,0.25,2.153341458,0.1,3.84,0.41,0.106832238,20
8,0.297664645,0.1,0.059232469,0.1,0.476210436,0.25,2.414050671,0.1,4.24,0.41,0.096625375,20
9,0.425589453,0.1,0.546517966,0.1,0,0.25,2.580791599,0.1,4.65,0.41,0.088198772,20
10,1.054896826,0.1,1.298522046,0.1,0,0.25,2.436144089,0.1,5.05,1.59,0.31460286,20
11,0.879332939,0.1,1.074545706,0.1,1.235778343,0.25,2.275156721,0.1,6.65,1.59,0.239148374,20
12,0.766299868,0.1,0.990948163,0.1,1.004477544,0.25,2.356664042,0.1,8.24,1.59,0.192886417,20
13,0.722588802,0.1,0.784378625,0.1,1.079182884,0.25,2.622037768,0.1,9.84,1.59,0.161621596,20
14,0.994434433,0.1,0.803042006,0.1,0.131842037,0.25,2.588825586,0.1,11.43,1.59,0.139078467,20
15,1.145591206,0.1,1.287357059,0.1,0.281122535,0.25,2.607056293,0.1,13.03,1.59,0.12205423,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,0.41,0.41,20
1,0.01836891,0.1,0,0.1,7.275660529,0.25,0.753814524,0.1,1.41,0.41,0.291732104,20
2,0,0.1,0,0.1,8.15911061,0.25,0.964548793,0.1,1.81,0.41,0.226419518,20
3,0.086202161,0.1,0.252599969,0.1,8.388863522,0.25,1.01398684,0.1,2.22,0.41,0.18500161,20
4,0,0.1,0.165549759,0.1,7.477746545,0.25,1.0867393,0.1,2.62,0.41,0.156393286,20
5,0.045502956,0.1,0.030753516,0.1,7.112650472,0.25,1.500752831,0.1,3.03,1.59,0.525264287,20
6,0,0.1,0,0.1,9.152785847,0.25,1.303699384,0.1,4.62,1.59,0.344032665,20
7,0,0.1,0,0.1,9.487027118,0.25,1.273112392,0.1,6.22,1.59,0.255781005,20
8,0.055278335,0.1,0,0.1,9.128583373,0.25,1.219634322,0.1,7.81,1.59,0.203562831,20
9,0.103909065,0.1,0.079141606,0.1,7.979960002,0.25,1.61984848,0.1,9.41,1.59,0.169050793,20
10,0,0.1,0,0.1,6.899070968,0.25,1.768662303,0.1,11.00,0.41,0.037272542,20
11,0.126065879,0.1,0,0.1,2.836098194,0.25,2.224270611,0.1,11.41,0.41,0.035947084,20
12,0.130476835,0.1,0.123257505,0.1,0,0.25,2.645808317,0.1,11.81,0.41,0.034713247,20
13,0.433146131,0.1,0.935867421,0.1,0.381424561,0.25,2.621214745,0.1,12.22,0.41,0.033561299,20
14,0.933900256,0.1,1.543064111,0.1,0,0.25,2.475385641,0.1,12.62,0.41,0.03248335,20
15,1.471836805,0.1,2.1223385,0.1,0,0.25,2.624646203,0.1,13.03,0.41,0.031472491,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,0.41,0.41,20
1,0.093372816,0.1,0,0.1,7.483948447,0.25,0.961300716,0.1,1.41,0.41,0.291732104,20
2,0.0350321,0.1,0,0.1,8.31520818,0.25,1.005062828,0.1,1.81,0.41,0.226419518,20
3,0,0.1,0.027606825,0.1,8.942778698,0.25,1.178951772,0.1,2.22,0.41,0.18500161,20
4,0.018245217,0.1,0,0.1,7.759473142,0.25,1.397142671,0.1,2.62,0.41,0.156393286,20
5,0,0.1,0.044342191,0.1,6.750639353,0.25,1.49664681,0.1,3.03,1.59,0.525264287,20
6,0,0.1,0.039189421,0.1,8.844769685,0.25,1.254529644,0.1,4.62,1.59,0.344032665,20
7,0.160394635,0.1,0,0.1,9.198480998,0.25,1.33228344,0.1,6.22,1.59,0.255781005,20
8,0.009834777,0.1,0,0.1,9.089216266,0.25,1.371324842,0.1,7.81,1.59,0.203562831,20
9,0.004137361,0.1,0,0.1,8.110983341,0.25,1.404122498,0.1,9.41,1.59,0.169050793,20
10,0,0.1,0,0.1,7.026916092,0.25,1.828566778,0.1,11.00,1.59,0.144544689,20
11,0,0.1,0,0.1,4.413643775,0.25,2.073545889,0.1,12.59,1.59,0.126243987,20
12,0.023240337,0.1,0.00127732,0.1,1.444873582,0.25,2.444532442,0.1,14.19,1.59,0.112056581,20
13,0.141820502,0.1,0,0.1,0.583144814,0.25,2.699453324,0.1,15.78,1.59,0.100735806,20
14,0.583237223,0.1,0.888716346,0.1,0.457939332,0.25,2.684723274,0.1,17.38,1.59,0.091492559,20
15,1.209896977,0.1,1.718575975,0.1,0.074485178,0.25,2.571915764,0.1,18.97,1.59,0.08380302,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1.59,1.59,20
1,0,0.1,0,0.1,13.1157552,0.25,0.288385915,0.1,2.59,1.59,0.612810982,20
2,0.044937762,0.1,0,0.1,15.15964942,0.25,0.643021105,0.1,4.19,1.59,0.379547222,20
3,0.010063335,0.1,0,0.1,15.51310176,0.25,0.433687864,0.1,5.78,1.59,0.274905625,20
4,0.082607,0.1,0.102049801,0.1,15.62151679,0.25,0.511574839,0.1,7.38,1.59,0.215493755,20
5,0.053615708,0.1,0.08617163,0.1,16.13036455,0.25,0.277790683,0.1,8.97,0.41,0.04569263,20
6,0.089788843,0.1,0.000116208,0.1,15.10162849,0.25,0.499542175,0.1,9.38,0.41,0.043715631,20
7,0,0.1,0,0.1,14.0481488,0.25,0.677828927,0.1,9.78,0.41,0.041904315,20
8,0,0.1,0,0.1,12.92927476,0.25,0.938550225,0.1,10.19,0.41,0.040237127,20
9,0.100777341,0.1,0.058117232,0.1,11.05817502,0.25,0.978693978,0.1,10.59,0.41,0.038697523,20
10,0,0.1,0,0.1,8.61490046,0.25,1.522872309,0.1,11.00,0.41,0.037271398,20
11,0,0.1,0,0.1,5.649190017,0.25,1.794917629,0.1,11.41,0.41,0.035946651,20
12,0,0.1,0.008197096,0.1,1.491268772,0.25,2.484599068,0.1,11.81,0.41,0.034712844,20
13,0.137636761,0.1,0.418399346,0.1,0.10354492,0.25,2.712647288,0.1,12.22,0.41,0.033560922,20
14,0.684234521,0.1,1.16832172,0.1,0,0.25,2.683113855,0.1,12.62,0.41,0.032482997,20
15,1.226105524,0.1,1.779833524,0.1,0,0.25,2.76147557,0.1,13.03,0.41,0.031472159,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1.59,1.59,20
1,0,0.1,0,0.1,13.56309849,0.25,0.467114321,0.1,2.59,1.59,0.612810982,20
2,0,0.1,0.185859295,0.1,14.47116376,0.25,0.433779025,0.1,4.19,1.59,0.379547222,20
3,0.019218224,0.1,0,0.1,15.85952795,0.25,0.370745156,0.1,5.78,1.59,0.274905625,20
4,0,0.1,0.010335972,0.1,15.60242946,0.25,0.441750613,0.1,7.38,1.59,0.215493755,20
5,0,0.1,0.056316696,0.1,15.83539427,0.25,0.484200224,0.1,8.97,0.41,0.04569263,20
6,0.033621334,0.1,0.0113597,0.1,15.14271704,0.25,0.465549475,0.1,9.38,0.41,0.043715631,20
7,0,0.1,0,0.1,14.24881204,0.25,0.687952317,0.1,9.78,0.41,0.041904315,20
8,0,0.1,0,0.1,12.63323121,0.25,0.683069196,0.1,10.19,0.41,0.040237127,20
9,0.035006276,0.1,0,0.1,11.30360413,0.25,1.260250218,0.1,10.59,0.41,0.038697523,20
10,0,0.1,0.147895849,0.1,8.40752453,0.25,1.412747229,0.1,11.00,1.59,0.144535163,20
11,0.103597591,0.1,0,0.1,6.819337406,0.25,1.612657054,0.1,12.60,1.59,0.126236396,20
12,0.242446115,0.1,0.078466847,0.1,4.473616143,0.25,2.049938738,0.1,14.19,1.59,0.1120506,20
13,0.095977954,0.1,0.031076067,0.1,1.338015521,0.25,2.349664761,0.1,15.78,1.59,0.100730973,20
14,0.141538928,0.1,0.375745658,0.1,0.371411059,0.25,2.656238796,0.1,17.38,1.59,0.091488572,20
15,0.79630744,0.1,0.998007595,0.1,0.212687979,0.25,2.610001032,0.1,18.97,1.59,0.083799674,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1.59,1.59,20
1,0.05939308,0.1,0,0.1,13.4020539,0.25,0.702007858,0.1,2.59,1.59,0.612810982,20
2,0,0.1,0,0.1,14.72460513,0.25,0.514146978,0.1,4.19,1.59,0.379547222,20
3,0,0.1,0,0.1,15.49413012,0.25,0.478666072,0.1,5.78,1.59,0.274905625,20
4,0,0.1,0,0.1,15.84021517,0.25,0.323981331,0.1,7.38,1.59,0.215493755,20
5,0.04018445,0.1,0,0.1,15.92657685,0.25,0.476201712,0.1,8.97,1.59,0.17719816,20
6,0.147020128,0.1,0.004584111,0.1,15.93788341,0.25,0.439466542,0.1,10.57,1.59,0.150459809,20
7,0,0.1,0,0.1,15.16478413,0.25,0.534557962,0.1,12.16,1.59,0.13073285,20
8,0.0812323,0.1,0.061133519,0.1,14.94903571,0.25,0.601441295,0.1,13.76,1.59,0.115579136,20
9,0.05455401,0.1,0.010931769,0.1,13.93408643,0.25,0.675945417,0.1,15.35,1.59,0.103573553,20
10,0,0.1,0.181401545,0.1,13.02643631,0.25,0.842373143,0.1,16.95,0.41,0.024194508,20
11,0.0397467,0.1,0.031202383,0.1,10.74235159,0.25,1.190738854,0.1,17.35,0.41,0.023629125,20
12,0,0.1,0.180449377,0.1,7.831549227,0.25,1.415128897,0.1,17.76,0.41,0.023089659,20
13,0.15162669,0.1,0,0.1,3.958882373,0.25,2.149364434,0.1,18.16,0.41,0.022574276,20
14,0.005679754,0.1,0.110365594,0.1,0.235758631,0.25,2.64416732,0.1,18.57,0.41,0.022081398,20
15,0.377079668,0.1,0.578416306,0.1,0.231280263,0.25,2.750398097,0.1,18.97,0.41,0.021609583,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1.59,1.59,20
1,0,0.1,0,0.1,13.09757436,0.25,0.573164649,0.1,2.59,1.59,0.612810982,20
2,0.091048258,0.1,0,0.1,14.94707281,0.25,0.413797415,0.1,4.19,1.59,0.379547222,20
3,0.086708255,0.1,0.059535767,0.1,15.8495303,0.25,0.197735601,0.1,5.78,1.59,0.274905625,20
4,0,0.1,0.104683278,0.1,16.18749725,0.25,0.313355605,0.1,7.38,1.59,0.215493755,20
5,0.089847599,0.1,0,0.1,15.9742837,0.25,0.505457928,0.1,8.97,1.59,0.17719816,20
6,0.018370342,0.1,0.032767816,0.1,15.56243163,0.25,0.489807358,0.1,10.57,1.59,0.150459809,20
7,0.029079013,0.1,0,0.1,15.44114701,0.25,0.453827704,0.1,12.16,1.59,0.13073285,20
8,0.011294472,0.1,0.022959689,0.1,14.83336978,0.25,0.595804433,0.1,13.76,1.59,0.115579136,20
9,0.043995219,0.1,0.04399979,0.1,13.84528155,0.25,0.803470552,0.1,15.35,1.59,0.103573553,20
10,0.010166244,0.1,0,0.1,12.87572174,0.25,0.833945493,0.1,16.95,1.59,0.093827395,20
11,0.278733523,0.1,0.027483679,0.1,11.41674056,0.25,1.230529808,0.1,18.54,1.59,0.08575769,20
12,0,0.1,0.060110203,0.1,9.204660982,0.25,1.328556983,0.1,20.14,1.59,0.07896614,20
13,0,0.1,0.009230795,0.1,7.187321925,0.25,1.913518904,0.1,21.73,1.59,0.07317136,20
14,0,0.1,0.17298414,0.1,3.611302673,0.25,2.069310747,0.1,23.32,1.59,0.068168914,20
15,0,0.1,0,0.1,0.170171088,0.25,2.673322824,0.1,24.92,1.59,0.063806695,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,0,0,20
1,0,0.1,0.062933844,0.1,2.53091031,0.25,1.32946015,0.1,1,0,0,20
2,0.225861293,0.1,0.092382566,0.1,0.127462475,0.25,1.654035512,0.1,1,0,0,20
3,0.140689745,0.1,0.100566428,0.1,0.017512967,0.25,1.739064722,0.1,1,0,0,20
4,0.00239077,0.1,0.082827938,0.1,0,0.25,1.723858127,0.1,1,0,0,20
5,0.110485227,0.1,0.160131884,0.1,0,0.25,1.76005441,0.1,1.00,1,1.000000003,20
6,0.059941167,0.1,0.054837426,0.1,8.025202059,0.25,1.301650658,0.1,2.00,1,0.500000004,20
7,0.136294073,0.1,0.024900275,0.1,9.772155477,0.25,1.125794003,0.1,3.00,1,0.333333335,20
8,0.190909063,0.1,0.147680304,0.1,10.48492977,0.25,0.876061259,0.1,4.00,1,0.250000001,20
9,0,0.1,0.00969091,0.1,10.97035916,0.25,0.838672331,0.1,5.00,1,0.200000001,20
10,0.135769157,0.1,0.147251739,0.1,9.908970729,0.25,1.282380867,0.1,6.00,1,0.166666667,20
11,0.173982942,0.1,0,0.1,8.881076044,0.25,1.184085994,0.1,7.00,1,0.142857143,20
12,0.029410025,0.1,0.121919462,0.1,7.528846288,0.25,1.614019435,0.1,8.00,1,0.125,20
13,0.196548241,0.1,0,0.1,5.007386121,0.25,1.9298535,0.1,9.00,1,0.111111111,20
14,0.035269473,0.1,0.037390412,0.1,2.462086811,0.25,2.554943468,0.1,10.00,1,0.1,20
15,0,0.1,0.30871956,0.1,0.088330187,0.25,2.612996837,0.1,11.00,1,0.090909091,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,2,2,20
1,0,0.1,0.140493345,0.1,14.22268052,0.25,0.410359821,0.1,3,2,0.666666667,20
2,0.122468782,0.1,0.103412154,0.1,16.00302118,0.25,0.421569563,0.1,5,2,0.4,20
3,0,0.1,0.029157029,0.1,16.72635966,0.25,0.35977268,0.1,7,2,0.285714286,20
4,0.058242328,0.1,0,0.1,16.74996795,0.25,0.375544895,0.1,9,2,0.222222222,20
5,0,0.1,0.05666961,0.1,16.82395152,0.25,0.300340707,0.1,11.00,1,0.090909412,20
6,0.006451674,0.1,0,0.1,16.38932588,0.25,0.444504634,0.1,12.00,1,0.083331517,20
7,0.060029195,0.1,0.024447468,0.1,15.89602626,0.25,0.35727454,0.1,13.00,1,0.076921529,20
8,0,0.1,0.08084388,0.1,14.92197939,0.25,0.560565798,0.1,14.00,1,0.071427237,20
9,0.034759263,0.1,0.02130417,0.1,14.11825973,0.25,0.70188426,0.1,15.00,1,0.066665504,20
10,0,0.1,0.087967716,0.1,12.42267838,0.25,1.024812835,0.1,16.00,1,0.062498978,20
11,0,0.1,0.203887625,0.1,10.64370494,0.25,1.216583103,0.1,17.00,1,0.058822624,20
12,0,0.1,0.092393245,0.1,8.760405566,0.25,1.423783575,0.1,18.00,1,0.055554748,20
13,0,0.1,0.026691745,0.1,5.130467991,0.25,1.962999084,0.1,19.00,1,0.052630854,20
14,0,0.1,0.064292973,0.1,1.364200355,0.25,2.431031404,0.1,20.00,1,0.049999346,20
15,0.080622746,0.1,0.570991304,0.1,0.294805313,0.25,2.613946435,0.1,21.00,1,0.047618454,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0.031731747,0.1,0.066070709,0.1,11.35275492,0.25,0.552740114,0.1,2,1,0.5,20
2,0.007802008,0.1,0.250877247,0.1,13.0488085,0.25,0.420305239,0.1,3,1,0.333333333,20
3,0.132438545,0.1,0.106345964,0.1,13.49537054,0.25,0.616823063,0.1,4,1,0.25,20
4,0,0.1,0.115692165,0.1,14.43032867,0.25,0.461918322,0.1,5,1,0.2,20
5,0,0.1,0.005297883,0.1,13.13355853,0.25,0.695025076,0.1,6.00,0,0,20
6,0,0.1,0,0.1,11.9748179,0.25,0.984782874,0.1,6.00,0,0,20
7,0,0.1,0,0.1,9.573879183,0.25,1.206952888,0.1,6.00,0,0,20
8,0.031050832,0.1,0,0.1,6.73176946,0.25,1.629292478,0.1,6.00,0,0,20
9,0,0.1,0,0.1,2.855006231,0.25,2.145899889,0.1,6.00,0,0,20
10,0.082532593,0.1,0.241757564,0.1,0.035086226,0.25,2.415580748,0.1,6.00,1,0.16666659,20
11,0.320128217,0.1,0.488858072,0.1,0.145846303,0.25,2.540340109,0.1,7.00,1,0.142857086,20
12,0.919775526,0.1,0.816689659,0.1,0.445523662,0.25,2.66953835,0.1,8.00,1,0.124999957,20
13,1.132081787,0.1,1.311554739,0.1,0.360424936,0.25,2.768292747,0.1,9.00,1,0.111111077,20
14,1.67193581,0.1,1.831909149,0.1,0.335040678,0.25,2.567500575,0.1,10.00,1,0.099999972,20
15,2.024495027,0.1,2.409805251,0.1,0.043742237,0.25,2.460534852,0.1,11.00,1,0.090909068,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0,0.1,0,0.1,11.34579875,0.25,0.739048537,0.1,2,1,0.5,20
2,0.119777147,0.1,0,0.1,13.19285972,0.25,0.648423695,0.1,3,1,0.333333333,20
3,0,0.1,0.194439779,0.1,13.60028679,0.25,0.475974754,0.1,4,1,0.25,20
4,0,0.1,0,0.1,14.00595558,0.25,0.468067392,0.1,5,1,0.2,20
5,0.088637738,0.1,0,0.1,13.59496844,0.25,0.57418923,0.1,6.00,2,0.333321114,20
6,0,0.1,0,0.1,13.86810413,0.25,0.535862861,0.1,8.00,2,0.24999253,20
7,0,0.1,0,0.1,13.70657675,0.25,0.721384936,0.1,10.00,2,0.199995219,20
8,0.04206837,0.1,0,0.1,13.86813393,0.25,0.746500257,0.1,12.00,2,0.166663347,20
9,0.0400738,0.1,0.003029902,0.1,12.7169474,0.25,0.856565477,0.1,14.00,2,0.142854704,20
10,0.009514216,0.1,0.085308677,0.1,11.90471296,0.25,0.900998618,0.1,16.00,1,0.062502024,20
11,0.049668439,0.1,0.040425347,0.1,9.7510385,0.25,1.378483022,0.1,17.00,1,0.058825539,20
12,0.10822406,0.1,0,0.1,7.476936908,0.25,1.690652044,0.1,18.00,1,0.055557348,20
13,0.097044779,0.1,0,0.1,3.431238003,0.25,2.094527752,0.1,19.00,1,0.052633188,20
14,0,0.1,0.162918938,0.1,0.164988048,0.25,2.729277048,0.1,20.00,1,0.050001452,20
15,0.415397573,0.1,0.935852417,0.1,0,0.25,2.59322827,0.1,21.00,1,0.047620365,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0,0.1,0,0.1,11.95595873,0.25,0.61948909,0.1,2,1,0.5,20
2,0.016136353,0.1,0,0.1,13.28743913,0.25,0.473517439,0.1,3,1,0.333333333,20
3,0,0.1,0,0.1,13.58933258,0.25,0.652697348,0.1,4,1,0.25,20
4,0,0.1,0.038302391,0.1,14.13340396,0.25,0.585974434,0.1,5,1,0.2,20
5,0,0.1,0.041203538,0.1,13.44138016,0.25,0.688644398,0.1,6,1,0.166666667,20
6,0.006144548,0.1,0.040549255,0.1,12.88404201,0.25,0.696025973,0.1,7,1,0.142857143,20
7,0,0.1,0,0.1,12.65517336,0.25,0.743809748,0.1,8,1,0.125,20
8,0,0.1,0,0.1,11.20022342,0.25,1.078767444,0.1,9,1,0.111111111,20
9,0,0.1,0,0.1,10.00630385,0.25,1.268127544,0.1,10,1,0.1,20
10,0,0.1,0.085354083,0.1,8.317352138,0.25,1.672544275,0.1,11.00,0,0,20
11,0.065269859,0.1,0,0.1,4.122767388,0.25,2.172981473,0.1,11.00,0,0,20
12,0,0.1,0.129868844,0.1,0.259689593,0.25,2.745430799,0.1,11.00,0,0,20
13,0.0855749,0.1,0.214176586,0.1,0,0.25,2.568948901,0.1,11.00,0,0,20
14,0.12909568,0.1,0.121861669,0.1,0.16538406,0.25,2.550203927,0.1,11.00,0,0,20
15,0.01582455,0.1,0.234861496,0.1,0.534625564,0.25,2.5169279,0.1,11.00,0,0,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0,0.1,0,0.1,11.36008979,0.25,0.733995078,0.1,2,1,0.5,20
2,0,0.1,0,0.1,12.750709,0.25,0.584750216,0.1,3,1,0.333333333,20
3,0.05476395,0.1,0,0.1,13.6002373,0.25,0.642087269,0.1,4,1,0.25,20
4,0.156508399,0.1,0,0.1,14.21107748,0.25,0.495080209,0.1,5,1,0.2,20
5,0,0.1,0,0.1,13.8729289,0.25,0.795043329,0.1,6,1,0.166666667,20
6,0,0.1,0,0.1,12.91983922,0.25,0.676364455,0.1,7,1,0.142857143,20
7,0,0.1,0,0.1,11.92499672,0.25,0.715977602,0.1,8,1,0.125,20
8,0,0.1,0.123329711,0.1,11.25188822,0.25,1.200058659,0.1,9,1,0.111111111,20
9,0.084124567,0.1,0.061030522,0.1,9.980806504,0.25,1.268068777,0.1,10,1,0.1,20
10,0,0.1,0.005907216,0.1,8.201327766,0.25,1.597531641,0.1,11.00,2,0.181817637,20
11,0.191218084,0.1,0,0.1,6.523500013,0.25,1.731841615,0.1,13.00,2,0.153846421,20
12,0,0.1,0,0.1,4.112163499,0.25,1.965602547,0.1,15.00,2,0.133333534,20
13,0.040924582,0.1,0,0.1,1.773428226,0.25,2.137929838,0.1,17.00,2,0.117647215,20
14,0,0.1,0.50736032,0.1,0,0.25,2.720327891,0.1,19.00,2,0.105263283,20
15,0.540896831,0.1,1.003609562,0.1,0,0.25,2.639395393,0.1,21.00,2,0.095238198,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0.038914573,0.1,0,0.1,11.20754593,0.25,0.709300875,0.1,2,1,0.5,20
2,0,0.1,0,0.1,12.55516564,0.25,0.723031968,0.1,3,1,0.333333333,20
3,0.003974013,0.1,0,0.1,13.58897033,0.25,0.528636078,0.1,4,1,0.25,20
4,0,0.1,0.128145775,0.1,13.57592737,0.25,0.664974233,0.1,5,1,0.2,20
5,0.010924794,0.1,0,0.1,13.62690408,0.25,0.633564697,0.1,6,1,0.166666667,20
6,0,0.1,0,0.1,13.37155612,0.25,0.785531494,0.1,7,1,0.142857143,20
7,0,0.1,0.021468645,0.1,12.8566301,0.25,1.018486249,0.1,8,1,0.125,20
8,0,0.1,0.201077177,0.1,11.84432341,0.25,1.07363709,0.1,9,1,0.111111111,20
9,0,0.1,0.002555443,0.1,9.898086318,0.25,1.170657116,0.1,10,1,0.1,20
10,0.076652685,0.1,0.030829944,0.1,7.885647703,0.25,1.466933961,0.1,11,1,0.090909091,20
11,0.174467318,0.1,0,0.1,5.565960498,0.25,1.900375844,0.1,12,1,0.083333333,20
12,0,0.1,0.167426482,0.1,2.154657427,0.25,2.361048881,0.1,13,1,0.076923077,20
13,0.34905191,0.1,0.340457658,0.1,0.303079666,0.25,2.56249151,0.1,14,1,0.071428571,20
14,0.83140247,0.1,1.136252401,0.1,0.292777493,0.25,2.674019692,0.1,15,1,0.066666667,20
15,1.361678487,0.1,1.700234123,0.1,0,0.25,2.788069093,0.1,16,1,0.0625,20
