time,X,sdX,V,sdV,Feed,batch number
0,0.929736538,0.045269822,1.942470287,0.095269822,0.1412,1
3,1.940665438,0.088883194,2.194420458,0.116451952,0.1412,1
6,3.126001343,0.176200573,2.758151236,0.137634082,0.1412,1
9,7.122598367,0.341412098,3.104761875,0.158816212,0.1412,1
12,12.58774563,0.619513316,3.619631286,0.179998342,0.1412,1
15,18.75861795,1.003547247,3.973203097,0.201180472,0.1412,1
18,27.57646906,1.409378211,4.405025009,0.222362602,0.1412,1
21,35.27404162,1.733996598,4.619333989,0.243544732,0.1412,1
24,45.80258612,1.942565741,5.208953176,0.264726862,0.1412,1
,,,,,,
0,1.030768364,0.045269822,3.213208394,0.154730178,0.1412,2
3,1.78038221,0.095462274,3.825155642,0.175912308,0.1412,2
6,4.574941246,0.198608919,3.713156733,0.197094438,0.1412,2
9,8.194935555,0.395405342,4.884464653,0.218276568,0.1412,2
12,14.35403918,0.719971846,5.154606594,0.239458698,0.1412,2
15,23.68144351,1.143216868,5.256736485,0.260640828,0.1412,2
18,30.74305447,1.553069045,5.551572235,0.281822957,0.1412,2
21,36.79401394,1.851191445,5.84840595,0.303005087,0.1412,2
24,43.57379998,2.027659987,6.753717923,0.324187217,0.1412,2
,,,,,,
0,2.24217199,0.104730178,1.839221523,0.095269822,0.1412,3
3,4.268019209,0.199280052,2.275251865,0.116451952,0.1412,3
6,7.712046883,0.373076359,2.874297473,0.137634082,0.1412,3
9,12.33133621,0.656183458,3.245559242,0.158816212,0.1412,3
12,21.43022349,1.034415052,3.761379876,0.179998342,0.1412,3
15,30.80088586,1.423973686,4.125151663,0.201180472,0.1412,3
18,35.48949292,1.73213319,4.358107505,0.222362602,0.1412,3
21,40.62088593,1.931137569,4.745749657,0.243544732,0.1412,3
24,42.40661234,2.045971311,5.505357126,0.264726862,0.1412,3
,,,,,,
0,2.062824135,0.104730178,2.990750184,0.154730178,0.1412,4
3,4.337829998,0.213750738,3.726994087,0.175912308,0.1412,4
6,8.024226632,0.417651837,4.097731715,0.197094438,0.1412,4
9,15.58783517,0.746243773,4.428334214,0.218276568,0.1412,4
12,21.95729869,1.164662406,4.789946473,0.239458698,0.1412,4
15,29.57818143,1.562409753,5.308111317,0.260640828,0.1412,4
18,35.49096143,1.849402518,6.630357922,0.281822957,0.1412,4
21,34.44947449,2.019819914,6.026032868,0.303005087,0.1412,4
24,45.27051279,2.111657326,5.979116491,0.324187217,0.1412,4
,,,,,,
0,0.92011776,0.045269822,2.087847898,0.095269822,0.4088,5
3,1.277185598,0.066364294,3.22724823,0.156587692,0.4088,5
6,2.424898191,0.113470487,4.216927699,0.217905562,0.4088,5
9,3.755752864,0.205361634,6.315289884,0.279223432,0.4088,5
12,7.404783141,0.37214159,6.998447422,0.340541302,0.4088,5
15,12.68053315,0.641774384,8.155411898,0.401859172,0.4088,5
18,20.39021649,1.003494711,8.90326146,0.463177043,0.4088,5
21,28.0879533,1.382767136,9.931347834,0.524494913,0.4088,5
24,32.36175513,1.691222997,10.68029611,0.585812783,0.4088,5
,,,,,,
0,0.904036026,0.045269822,3.029165142,0.154730178,0.4088,6
3,1.546232161,0.077954259,4.093440235,0.216048048,0.4088,6
6,2.957759197,0.143387685,5.726983588,0.277365918,0.4088,6
9,5.647390118,0.267734272,6.666100243,0.338683788,0.4088,6
12,10.23465579,0.484841692,8.707632724,0.400001658,0.4088,6
15,15.51361192,0.810688256,9.923251722,0.461319528,0.4088,6
18,24.11340613,1.201024797,10.53846589,0.522637398,0.4088,6
21,29.2996791,1.559664732,11.51398401,0.583955268,0.4088,6
24,34.353752,1.818958163,13.64892441,0.645273138,0.4088,6
,,,,,,
0,2.093886226,0.104730178,1.796168864,0.095269822,0.4088,7
3,3.219797479,0.149531081,3.237246768,0.156587692,0.4088,7
6,4.723489054,0.245626989,4.212307802,0.217905562,0.4088,7
9,8.491021643,0.416811337,5.472689168,0.279223432,0.4088,7
12,13.52329457,0.683878343,6.582049574,0.340541302,0.4088,7
15,21.75925795,1.030396884,8.268505249,0.401859172,0.4088,7
18,26.22414066,1.386718302,8.903145797,0.463177043,0.4088,7
21,33.58913865,1.676727433,9.932065812,0.524494913,0.4088,7
24,38.50852808,1.873663907,12.04019741,0.585812783,0.4088,7
,,,,,,
0,2.209870661,0.104730178,3.029086338,0.154730178,0.4088,8
3,3.774117004,0.175180091,4.39908116,0.216048048,0.4088,8
6,6.165229658,0.306942686,5.449716277,0.277365918,0.4088,8
9,9.792010003,0.52905734,6.864964829,0.338683788,0.4088,8
12,16.36651929,0.849868928,6.974249168,0.400001658,0.4088,8
15,23.14821417,1.222288675,9.441302784,0.461319528,0.4088,8
18,34.85224529,1.559352676,11.42148823,0.522637398,0.4088,8
21,34.97421909,1.80424581,12.28600385,0.583955268,0.4088,8
24,40.62533922,1.958029153,13.49323986,0.645273138,0.4088,8
,,,,,,
0,1.485568612,0.075,2.470033589,0.125,0.05,9
3,3.479477864,0.166572969,2.673982246,0.1325,0.05,9
6,6.782991476,0.352635212,2.834194937,0.14,0.05,9
9,12.64081227,0.679696478,2.96421795,0.1475,0.05,9
12,20.99566394,1.130158725,2.971277383,0.155,0.05,9
15,32.35900252,1.579397514,3.19275902,0.1625,0.05,9
18,37.7522819,1.904504686,3.370288243,0.17,0.05,9
21,41.39141707,2.090059021,3.464684018,0.1775,0.05,9
24,46.7556911,2.182875675,3.854814792,0.185,0.05,9
,,,,,,
0,1.521868828,0.075,2.817293668,0.125,0.5,10
3,2.249893666,0.111392946,3.73533315,0.2,0.5,10
6,4.069516746,0.188510907,5.535293572,0.275,0.5,10
9,6.351217111,0.330869519,6.495167296,0.35,0.5,10
12,11.73124225,0.566819111,9.053565989,0.425,0.5,10
15,18.7286129,0.898897703,10.70495575,0.5,0.5,10
18,25.12760454,1.271879036,10.54403779,0.575,0.5,10
21,32.31592888,1.598558383,14.26339491,0.65,0.5,10
24,34.46827427,1.830093907,13.71359362,0.725,0.5,10
,,,,,,
0,0.471301181,0.025,2.528352372,0.125,0.275,11
3,0.917533475,0.045637363,3.50769698,0.16625,0.275,11
6,1.818645782,0.087762933,4.180541666,0.2075,0.275,11
9,3.877854244,0.171696697,5.546046871,0.24875,0.275,11
12,6.384285825,0.330225507,6.598241785,0.29,0.275,11
15,12.07618769,0.598206255,6.670817746,0.33125,0.275,11
18,19.37657863,0.972841632,6.739617837,0.3725,0.275,11
21,24.86916474,1.376498383,8.123984149,0.41375,0.275,11
24,33.38050261,1.706479467,8.714109945,0.455,0.275,11
,,,,,,
0,2.275665145,0.125,2.404405829,0.125,0.275,12
3,4.522383225,0.217001043,3.137520737,0.16625,0.275,12
6,7.312344945,0.382605547,4.166224196,0.2075,0.275,12
9,13.01332422,0.647426076,5.499024127,0.24875,0.275,12
12,19.46090298,1.000279197,5.592404256,0.29,0.275,12
15,27.82742867,1.370571585,6.532079187,0.33125,0.275,12
18,32.4835323,1.674437068,7.884511939,0.3725,0.275,12
21,38.5164648,1.879772083,8.776804862,0.41375,0.275,12
24,41.55855531,2.003849157,9.320921149,0.455,0.275,12
,,,,,,
0,1.628391584,0.075,1.576951236,0.075,0.275,13
3,2.275894404,0.114910058,2.4262219,0.11625,0.275,13
6,3.517382475,0.196923773,3.089873134,0.1575,0.275,13
9,6.648842247,0.34700937,4.060242489,0.19875,0.275,13
12,12.66345808,0.5930086,4.728208675,0.24,0.275,13
15,17.6628074,0.933165274,5.371911979,0.28125,0.275,13
18,27.38683356,1.306564278,6.654705411,0.3225,0.275,13
21,32.72531235,1.626179257,7.299536244,0.36375,0.275,13
24,39.63072143,1.848732672,8.024216179,0.405,0.275,13
,,,,,,
0,1.3529325,0.075,3.551052305,0.175,0.275,14
3,2.839935897,0.143414434,4.538588977,0.21625,0.275,14
6,5.154686624,0.274299928,5.251180652,0.2575,0.275,14
9,11.53056876,0.50334227,6.033122223,0.29875,0.275,14
12,17.58564449,0.844439839,6.895126885,0.34,0.275,14
15,26.61719202,1.245017396,7.644527744,0.38125,0.275,14
18,30.35937165,1.602769537,8.122788012,0.4225,0.275,14
21,36.20828043,1.853851199,9.639870018,0.46375,0.275,14
24,39.53915961,2.004262998,10.81149801,0.505,0.275,14
,,,,,,
0,1.582381846,0.075,2.433237677,0.125,0.275,15
3,2.632352715,0.133472042,3.645489839,0.16625,0.275,15
6,5.077511449,0.245272144,4.113428634,0.2075,0.275,15
9,7.949228008,0.442898743,4.914367097,0.24875,0.275,15
12,14.68534422,0.747492217,5.539695809,0.29,0.275,15
15,21.62849876,1.127869859,6.362538413,0.33125,0.275,15
18,27.53807051,1.494770436,7.095016928,0.3725,0.275,15
21,36.33612929,1.771804866,8.421428382,0.41375,0.275,15
24,39.49497669,1.947293547,9.826646977,0.455,0.275,15
